Student_ID,Attendance,Assignment,Quiz,Midterm,Final,Previous_GPA,Average_Score,Risk_Level
1,78,50,97,49,81,2.99,69.6,Low
2,91,57,66,40,92,2.35,70.2,Medium
3,68,83,88,20,98,3.47,69.1,Low
4,54,83,77,51,28,2.72,47.9,High
5,82,94,55,27,90,2.37,67.2,Medium
6,47,50,51,88,43,2.66,58.4,High
7,60,42,83,49,31,3.13,45.6,High
8,78,86,90,27,79,3.45,65.1,Low
9,97,78,61,38,97,2.96,73.8,Low
10,58,83,67,78,35,3.05,58.2,High
11,62,39,93,74,48,2.28,60.8,Medium
12,50,82,49,49,51,3.83,53.2,High
13,50,73,40,98,54,3.86,67.3,High
14,63,76,79,55,62,3.37,63.1,Medium
15,92,82,32,74,72,2.04,71.6,Medium
16,75,75,20,63,39,3.07,51.5,Medium
17,79,42,84,46,27,3.26,45.1,High
18,63,66,52,96,61,3.99,71.3,Low
19,42,53,57,97,96,3.99,82.7,High
20,61,31,44,73,89,3.72,71.1,Low
21,92,43,45,67,35,2.13,52.1,Medium
22,41,39,96,49,88,3.91,67.5,High
23,63,64,78,58,72,3.23,66.7,Low
24,83,54,52,32,64,3.6,54.1,Medium
25,69,32,60,35,70,2.81,54.6,Medium
26,77,46,49,63,25,2.64,46.1,High
27,41,41,76,90,52,2.93,63.6,High
28,99,83,68,46,98,2.29,78.0,Medium
29,60,53,67,64,34,2.71,50.8,Medium
30,72,58,91,54,33,3.72,51.5,Medium
31,51,72,68,98,58,2.08,71.7,High
32,97,54,66,47,82,2.3,68.6,Medium
33,61,89,75,26,24,2.25,39.9,High
34,83,94,84,81,71,2.81,78.8,Low
35,64,57,31,70,35,3.99,50.2,Medium
36,88,45,88,65,57,2.35,64.4,Medium
37,66,76,25,39,72,2.29,57.2,Medium
38,98,87,84,57,96,3.83,82.4,Low
39,81,56,44,80,72,3.76,70.9,Low
40,67,82,20,51,65,2.06,58.2,Medium
41,99,71,51,45,34,3.5,49.2,High
42,55,88,22,77,78,3.31,70.8,High
43,54,76,68,58,69,3.54,64.8,High
44,86,63,38,39,28,2.99,41.6,High
45,90,66,79,69,45,3.98,62.2,Medium
46,83,35,48,98,22,2.09,54.8,Medium
47,94,36,69,71,66,2.47,67.6,Medium
48,91,54,21,41,24,2.79,38.5,High
49,96,62,92,72,81,2.9,79.0,Low
50,42,84,75,85,24,3.84,55.2,High
51,76,87,36,62,29,3.12,50.1,Medium
52,90,36,79,42,99,2.09,72.7,Medium
53,46,86,55,96,82,2.82,80.3,High
54,60,41,80,83,44,2.83,60.6,Medium
55,48,45,36,28,63,3.93,46.5,High
56,78,72,68,26,44,3.2,47.2,High
57,57,36,95,60,49,3.27,56.4,High
58,43,80,79,73,33,3.43,55.3,High
59,64,61,39,84,62,3.54,66.4,Low
60,99,37,69,21,47,3.27,45.6,High
61,53,74,22,23,38,2.47,37.0,High
62,89,88,62,97,61,3.75,77.4,Low
63,97,33,76,51,39,3.46,51.5,Medium
64,48,96,69,21,98,3.48,66.8,High
65,65,58,87,83,30,3.99,57.9,Medium
66,92,58,69,33,73,3.61,61.0,Medium
67,41,57,56,39,43,3.66,44.3,High
68,59,73,65,68,89,3.9,75.7,High
69,67,33,61,27,36,2.3,38.6,High
70,86,38,34,82,47,3.0,59.2,Medium
71,99,34,52,65,69,3.16,65.6,Low
72,46,85,99,40,74,2.66,64.6,High
73,83,79,30,51,92,3.68,71.3,Low
74,47,44,39,27,29,3.52,32.7,High
75,86,61,43,35,40,3.44,45.5,High
76,74,57,83,59,77,3.99,69.9,Low
77,53,51,99,46,53,2.52,55.3,High
78,56,46,84,37,62,3.47,54.5,High
79,75,88,92,54,30,3.1,53.7,Medium
80,89,86,95,71,52,2.63,69.1,Low
81,79,55,36,34,77,2.32,58.0,Medium
82,43,54,80,82,65,3.79,68.3,High
83,41,39,34,72,80,3.19,65.0,High
84,45,74,70,85,81,3.65,76.8,High
85,93,40,46,50,20,3.09,40.9,High
86,81,82,93,80,40,2.44,65.6,Medium
87,43,97,80,83,81,2.68,79.3,High
88,93,57,77,53,83,2.76,71.8,Low
89,68,94,50,74,92,3.95,80.2,Low
90,57,78,31,78,75,2.01,70.0,High
91,65,76,65,22,20,3.97,35.2,High
92,83,81,50,36,40,3.96,48.2,High
93,73,83,51,97,41,3.99,66.2,Low
94,49,89,51,97,73,2.95,77.2,High
95,75,86,72,65,23,3.93,52.0,Medium
96,53,76,80,57,84,2.79,71.6,High
97,70,60,65,54,70,2.05,63.7,Medium
98,87,75,93,20,93,2.45,68.7,Medium
99,54,55,99,48,82,3.89,68.0,High
100,47,34,26,23,34,2.03,31.2,High
101,53,81,23,80,55,3.09,61.7,High
102,62,83,71,36,48,2.15,51.6,Medium
103,99,62,50,47,71,2.57,63.6,Medium
104,96,79,94,69,65,2.18,73.6,Medium
105,79,67,55,27,88,3.72,63.4,Medium
106,60,56,73,53,48,3.18,54.0,Medium
107,55,44,73,78,66,3.8,67.0,High
108,84,90,36,37,44,3.38,49.7,High
109,57,50,94,78,99,3.94,83.1,High
110,86,75,49,46,35,3.02,48.8,High
111,92,98,41,35,60,3.28,57.6,Medium
112,63,35,62,29,84,3.15,58.3,Medium
113,65,67,46,95,88,2.97,81.5,Low
114,64,91,56,41,39,3.69,49.0,High
115,99,91,65,35,88,3.29,71.2,Low
116,99,75,54,31,55,3.6,54.1,Medium
